itemId;remain;method;change;
"1003";0;"repairTaskBuilding";-28;
"1003";28;"AddEnergyByTime";1;
"1003";27;"clearObstacle";-25;
"1003";52;"clearObstacle";-25;
"1003";77;"clearObstacle";-25;
"1003";102;"clearObstacle";-25;
"1003";127;"petDragonReward";5;
"1003";122;"clearObstacle";-28;
"1003";150;"clearObstacle";-28;
"1003";178;"clearObstacle";-28;
"1003";206;"clearObstacle";-26;
"1003";232;"clearObstacle";-26;
"1003";258;"clearObstacle";-26;
"1003";284;"petDragonReward";5;
"1003";279;"clearObstacle";-26;
"1003";305;"clearObstacle";-26;
"1003";331;"clearObstacle";-26;
"1003";357;"clearObstacle";-26;
"1003";383;"clearObstacle";-26;
"1003";409;"clearObstacle";-26;
"1003";435;"clearObstacle";-26;
"1003";461;"act_map_bp_normal_award";10;
"1003";451;"petDragonReward";5;
"1003";446;"clearObstacle";-25;
"1003";471;"clearObstacle";-28;
"1003";499;"clearObstacle";-25;
"1003";524;"clearObstacle";-28;
"1003";552;"clearObstacle";-17;
"1003";569;"clearObstacle";-28;
"1003";597;"clearObstacle";-25;
"1003";622;"buildingHangUpReward";10;
"1003";612;"clearObstacle";5;
"1003";557;"clearObstacle";5;
"1003";552;"clearObstacle";5;
"1003";607;"clearObstacle";50;
"1003";547;"clearObstacle";5;
"1003";542;"activity_energy_award";30;
"1003";512;"clearObstacle";-25;
"1003";537;"clearObstacle";-20;
"1003";557;"petDragonReward";5;
"1003";572;"clearObstacle";-25;
"1003";552;"clearObstacle";-20;
"1003";597;"clearObstacle";-24;
"1003";621;"repairTaskBuilding";-25;
"1003";646;"clearObstacle";15;
"1003";626;"clearObstacle";5;
"1003";631;"clearObstacle";5;
"1003";601;"clearObstacle";5;
"1003";616;"clearObstacle";15;
"1003";621;"clearObstacle";5;
"1003";596;"act_map_bp_normal_award";10;
"1003";586;"act_map_bp_normal_award";10;
"1003";576;"clearObstacle";-25;
"1003";601;"clearObstacle";-20;
"1003";621;"clearObstacle";-25;
"1003";646;"clearObstacle";-20;
"1003";666;"petDragonReward";5;
"1003";661;"repairTaskBuilding";-25;
"1003";686;"clearObstacle";-20;
"1003";706;"clearObstacle";-25;
"1003";731;"clearObstacle";-25;
"1003";756;"clearObstacle";-20;
"1003";776;"repairTaskBuilding";-18;
"1003";794;"repairTaskBuilding";-19;
"1003";813;"repairTaskBuilding";-20;
"1003";833;"petDragonReward";5;
"1003";828;"clearObstacle";-12;
"1003";840;"clearObstacle";-12;
"1003";852;"clearObstacle";-12;
"1003";864;"clearObstacle";-10;
"1003";874;"clearObstacle";-12;
"1003";886;"repairTaskBuilding";-16;
"1003";902;"clearObstacle";-19;
"1003";921;"clearObstacle";5;
"1003";911;"clearObstacle";15;
"1003";916;"clearObstacle";5;
"1003";896;"clearObstacle";5;
"1003";891;"clearObstacle";15;
"1003";876;"clearObstacle";5;
"1003";871;"clearObstacle";-10;
"1003";881;"clearObstacle";-12;
"1003";893;"act_map_bp_normal_award";10;
"1003";883;"christmasMap";50;
"1003";833;"repairTaskBuilding";-25;
"1003";858;"clearObstacle";-12;
"1003";870;"petDragonReward";5;
"1003";860;"clearObstacle";50;
"1003";810;"clearObstacle";5;
"1003";865;"clearObstacle";5;
"1003";805;"clearObstacle";5;
"1003";800;"clearObstacle";-12;
"1003";812;"clearObstacle";-12;
"1003";824;"clearObstacle";-12;
"1003";836;"clearObstacle";-6;
"1003";842;"buildingHangUpReward";10;
"1003";832;"clearObstacle";-7;
"1003";839;"clearObstacle";-12;
"1003";851;"CardCollectionReward";200;
"1003";651;"clearObstacle";-12;
"1003";663;"clearObstacle";-7;
"1003";670;"clearObstacle";-6;
"1003";676;"clearObstacle";-7;
"1003";683;"clearObstacle";-6;
"1003";689;"clearObstacle";-12;
"1003";701;"clearObstacle";-9;
"1003";710;"clearObstacle";-9;
"1003";719;"clearObstacle";-9;
"1003";728;"clearObstacle";5;
"1003";723;"clearObstacle";5;
"1003";713;"clearObstacle";15;
"1003";718;"clearObstacle";5;
"1003";683;"clearObstacle";5;
"1003";698;"clearObstacle";15;
"1003";678;"clearObstacle";-10;
"1003";688;"clearObstacle";-12;
"1003";700;"waterWheel";15;
"1003";685;"act_map_bp_normal_award";10;
"1003";675;"orderReward";10;
"1003";665;"orderReward";10;
"1003";655;"orderReward";10;
"1003";645;"orderReward";10;
"1003";635;"orderReward";10;
"1003";625;"orderReward";10;
"1003";615;"orderReward";10;
"1003";605;"orderReward";10;
"1003";595;"orderReward";10;
"1003";585;"orderReward";10;
"1003";575;"orderReward";10;
"1003";565;"orderReward";10;
"1003";555;"video_ads";10;
"1003";545;"orderReward";10;
"1003";535;"daily_task_accumulate";10;
"1003";525;"hang_up_sys_reward";8;
"1003";517;"MapRankReward";50;
"1003";467;"PveHangUpReward";8;
"1003";459;"video_ads";10;
"1003";449;"orderReward";10;
"1003";439;"hang_up_sys_reward";8;
"1003";431;"daily_reward";25;
