"升级所需物品
 [物品ID，数量]"
upgradeNeedItem
JSONArray
CS
[[2021,10],[1002,100]]
[[2021,10],[1002,300]]
[[2021,10],[1002,500]]
[[2021,10],[1002,700]]
[[2021,10],[1002,900]]
[[2021,10],[1002,1100]]
[[2021,10],[1002,1300]]
[[2021,10],[1002,1500]]
[[2021,10],[1002,1700]]
[[2021,10],[1002,1900]]
[[2021,20],[1002,2100]]
[[2021,20],[1002,2300]]
[[2021,20],[1002,2500]]
[[2021,20],[1002,2700]]
[[2021,20],[1002,2900]]
[[2021,20],[1002,3100]]
[[2021,20],[1002,3300]]
[[2021,20],[1002,3500]]
[[2021,20],[1002,3700]]
[[2021,20],[1002,3900]]
[[2021,30],[1002,4100]]
[[2021,30],[1002,4300]]
[[2021,30],[1002,4500]]
[[2021,30],[1002,4700]]
[[2021,30],[1002,4900]]
[[2021,30],[1002,5100]]
[[2021,30],[1002,5300]]
[[2021,30],[1002,5500]]
[[2021,30],[1002,5700]]
[]
[[2022,10],[1002,100]]
[[2022,10],[1002,300]]
[[2022,10],[1002,500]]
[[2022,10],[1002,700]]
[[2022,10],[1002,900]]
[[2022,10],[1002,1100]]
[[2022,10],[1002,1300]]
[[2022,10],[1002,1500]]
[[2022,10],[1002,1700]]
[[2022,10],[1002,1900]]
[[2022,20],[1002,2100]]
[[2022,20],[1002,2300]]
[[2022,20],[1002,2500]]
[[2022,20],[1002,2700]]
[[2022,20],[1002,2900]]
[[2022,20],[1002,3100]]
[[2022,20],[1002,3300]]
[[2022,20],[1002,3500]]
[[2022,20],[1002,3700]]
[[2022,20],[1002,3900]]
[[2022,30],[1002,4100]]
[[2022,30],[1002,4300]]
[[2022,30],[1002,4500]]
[[2022,30],[1002,4700]]
[[2022,30],[1002,4900]]
[[2022,30],[1002,5100]]
[[2022,30],[1002,5300]]
[[2022,30],[1002,5500]]
[[2022,30],[1002,5700]]
[]
[[2023,10],[1002,100]]
[[2023,10],[1002,300]]
[[2023,10],[1002,500]]
[[2023,10],[1002,700]]
[[2023,10],[1002,900]]
[[2023,10],[1002,1100]]
[[2023,10],[1002,1300]]
[[2023,10],[1002,1500]]
[[2023,10],[1002,1700]]
[[2023,10],[1002,1900]]
[[2023,20],[1002,2100]]
[[2023,20],[1002,2300]]
[[2023,20],[1002,2500]]
[[2023,20],[1002,2700]]
[[2023,20],[1002,2900]]
[[2023,20],[1002,3100]]
[[2023,20],[1002,3300]]
[[2023,20],[1002,3500]]
[[2023,20],[1002,3700]]
[[2023,20],[1002,3900]]
[[2023,30],[1002,4100]]
[[2023,30],[1002,4300]]
[[2023,30],[1002,4500]]
[[2023,30],[1002,4700]]
[[2023,30],[1002,4900]]
[[2023,30],[1002,5100]]
[[2023,30],[1002,5300]]
[[2023,30],[1002,5500]]
[[2023,30],[1002,5700]]
[]
[[2020,10],[1002,100]]
[[2020,10],[1002,300]]
[[2020,10],[1002,500]]
[[2020,10],[1002,700]]
[[2020,10],[1002,900]]
[[2020,10],[1002,1100]]
[[2020,10],[1002,1300]]
[[2020,10],[1002,1500]]
[[2020,10],[1002,1700]]
[[2020,10],[1002,1900]]
[[2020,20],[1002,2100]]
[[2020,20],[1002,2300]]
[[2020,20],[1002,2500]]
[[2020,20],[1002,2700]]
[[2020,20],[1002,2900]]
[[2020,20],[1002,3100]]
[[2020,20],[1002,3300]]
[[2020,20],[1002,3500]]
[[2020,20],[1002,3700]]
[[2020,20],[1002,3900]]
[[2020,30],[1002,4100]]
[[2020,30],[1002,4300]]
[[2020,30],[1002,4500]]
[[2020,30],[1002,4700]]
[[2020,30],[1002,4900]]
[[2020,30],[1002,5100]]
[[2020,30],[1002,5300]]
[[2020,30],[1002,5500]]
[[2020,30],[1002,5700]]
[]
[[2023,10],[1002,100]]
[[2023,10],[1002,300]]
[[2023,10],[1002,500]]
[[2023,10],[1002,700]]
[[2023,10],[1002,900]]
[[2023,10],[1002,1100]]
[[2023,10],[1002,1300]]
[[2023,10],[1002,1500]]
[[2023,10],[1002,1700]]
[[2023,10],[1002,1900]]
[[2023,20],[1002,2100]]
[[2023,20],[1002,2300]]
[[2023,20],[1002,2500]]
[[2023,20],[1002,2700]]
[[2023,20],[1002,2900]]
[[2023,20],[1002,3100]]
[[2023,20],[1002,3300]]
[[2023,20],[1002,3500]]
[[2023,20],[1002,3700]]
[[2023,20],[1002,3900]]
[[2023,30],[1002,4100]]
[[2023,30],[1002,4300]]
[[2023,30],[1002,4500]]
[[2023,30],[1002,4700]]
[[2023,30],[1002,4900]]
[[2023,30],[1002,5100]]
[[2023,30],[1002,5300]]
[[2023,30],[1002,5500]]
[[2023,30],[1002,5700]]
[]
[[2020,10],[1002,100]]
[[2020,10],[1002,300]]
[[2020,10],[1002,500]]
[[2020,10],[1002,700]]
[[2020,10],[1002,900]]
[[2020,10],[1002,1100]]
[[2020,10],[1002,1300]]
[[2020,10],[1002,1500]]
[[2020,10],[1002,1700]]
[[2020,10],[1002,1900]]
[[2020,20],[1002,2100]]
[[2020,20],[1002,2300]]
[[2020,20],[1002,2500]]
[[2020,20],[1002,2700]]
[[2020,20],[1002,2900]]
[[2020,20],[1002,3100]]
[[2020,20],[1002,3300]]
[[2020,20],[1002,3500]]
[[2020,20],[1002,3700]]
[[2020,20],[1002,3900]]
[[2020,30],[1002,4100]]
[[2020,30],[1002,4300]]
[[2020,30],[1002,4500]]
[[2020,30],[1002,4700]]
[[2020,30],[1002,4900]]
[[2020,30],[1002,5100]]
[[2020,30],[1002,5300]]
[[2020,30],[1002,5500]]
[[2020,30],[1002,5700]]
[]
[[2020,10],[1002,100]]
[[2020,10],[1002,300]]
[[2020,10],[1002,500]]
[[2020,10],[1002,700]]
[[2020,10],[1002,900]]
[[2020,10],[1002,1100]]
[[2020,10],[1002,1300]]
[[2020,10],[1002,1500]]
[[2020,10],[1002,1700]]
[[2020,10],[1002,1900]]
[[2020,20],[1002,2100]]
[[2020,20],[1002,2300]]
[[2020,20],[1002,2500]]
[[2020,20],[1002,2700]]
[[2020,20],[1002,2900]]
[[2020,20],[1002,3100]]
[[2020,20],[1002,3300]]
[[2020,20],[1002,3500]]
[[2020,20],[1002,3700]]
[[2020,20],[1002,3900]]
[[2020,30],[1002,4100]]
[[2020,30],[1002,4300]]
[[2020,30],[1002,4500]]
[[2020,30],[1002,4700]]
[[2020,30],[1002,4900]]
[[2020,30],[1002,5100]]
[[2020,30],[1002,5300]]
[[2020,30],[1002,5500]]
[[2020,30],[1002,5700]]
[]
[[2021,10],[1002,100]]
[[2021,10],[1002,300]]
[[2021,10],[1002,500]]
[[2021,10],[1002,700]]
[[2021,10],[1002,900]]
[[2021,10],[1002,1100]]
[[2021,10],[1002,1300]]
[[2021,10],[1002,1500]]
[[2021,10],[1002,1700]]
[[2021,10],[1002,1900]]
[[2021,20],[1002,2100]]
[[2021,20],[1002,2300]]
[[2021,20],[1002,2500]]
[[2021,20],[1002,2700]]
[[2021,20],[1002,2900]]
[[2021,20],[1002,3100]]
[[2021,20],[1002,3300]]
[[2021,20],[1002,3500]]
[[2021,20],[1002,3700]]
[[2021,20],[1002,3900]]
[[2021,30],[1002,4100]]
[[2021,30],[1002,4300]]
[[2021,30],[1002,4500]]
[[2021,30],[1002,4700]]
[[2021,30],[1002,4900]]
[[2021,30],[1002,5100]]
[[2021,30],[1002,5300]]
[[2021,30],[1002,5500]]
[[2021,30],[1002,5700]]
[]
[[2023,10],[1002,100]]
[[2023,10],[1002,300]]
[[2023,10],[1002,500]]
[[2023,10],[1002,700]]
[[2023,10],[1002,900]]
[[2023,10],[1002,1100]]
[[2023,10],[1002,1300]]
[[2023,10],[1002,1500]]
[[2023,10],[1002,1700]]
[[2023,10],[1002,1900]]
[[2023,20],[1002,2100]]
[[2023,20],[1002,2300]]
[[2023,20],[1002,2500]]
[[2023,20],[1002,2700]]
[[2023,20],[1002,2900]]
[[2023,20],[1002,3100]]
[[2023,20],[1002,3300]]
[[2023,20],[1002,3500]]
[[2023,20],[1002,3700]]
[[2023,20],[1002,3900]]
[[2023,30],[1002,4100]]
[[2023,30],[1002,4300]]
[[2023,30],[1002,4500]]
[[2023,30],[1002,4700]]
[[2023,30],[1002,4900]]
[[2023,30],[1002,5100]]
[[2023,30],[1002,5300]]
[[2023,30],[1002,5500]]
[[2023,30],[1002,5700]]
[]
[[2020,10],[1002,100]]
[[2020,10],[1002,300]]
[[2020,10],[1002,500]]
[[2020,10],[1002,700]]
[[2020,10],[1002,900]]
[[2020,10],[1002,1100]]
[[2020,10],[1002,1300]]
[[2020,10],[1002,1500]]
[[2020,10],[1002,1700]]
[[2020,10],[1002,1900]]
[[2020,20],[1002,2100]]
[[2020,20],[1002,2300]]
[[2020,20],[1002,2500]]
[[2020,20],[1002,2700]]
[[2020,20],[1002,2900]]
[[2020,20],[1002,3100]]
[[2020,20],[1002,3300]]
[[2020,20],[1002,3500]]
[[2020,20],[1002,3700]]
[[2020,20],[1002,3900]]
[[2020,30],[1002,4100]]
[[2020,30],[1002,4300]]
[[2020,30],[1002,4500]]
[[2020,30],[1002,4700]]
[[2020,30],[1002,4900]]
[[2020,30],[1002,5100]]
[[2020,30],[1002,5300]]
[[2020,30],[1002,5500]]
[[2020,30],[1002,5700]]
[]
[[2022,10],[1002,100]]
[[2022,10],[1002,300]]
[[2022,10],[1002,500]]
[[2022,10],[1002,700]]
[[2022,10],[1002,900]]
[[2022,10],[1002,1100]]
[[2022,10],[1002,1300]]
[[2022,10],[1002,1500]]
[[2022,10],[1002,1700]]
[[2022,10],[1002,1900]]
[[2022,20],[1002,2100]]
[[2022,20],[1002,2300]]
[[2022,20],[1002,2500]]
[[2022,20],[1002,2700]]
[[2022,20],[1002,2900]]
[[2022,20],[1002,3100]]
[[2022,20],[1002,3300]]
[[2022,20],[1002,3500]]
[[2022,20],[1002,3700]]
[[2022,20],[1002,3900]]
[[2022,30],[1002,4100]]
[[2022,30],[1002,4300]]
[[2022,30],[1002,4500]]
[[2022,30],[1002,4700]]
[[2022,30],[1002,4900]]
[[2022,30],[1002,5100]]
[[2022,30],[1002,5300]]
[[2022,30],[1002,5500]]
[[2022,30],[1002,5700]]
[]
[[2022,10],[1002,500]]
[[2022,10],[1002,1000]]
[[2022,10],[1002,1500]]
[[2022,10],[1002,2000]]
[[2022,10],[1002,2500]]
