应用,事件,数据生成时间(客户端时间),数据接收时间(服务器时间),延迟上报状态,日志信息
100116,game_exit,2021-10-24 22:12:26 ,2021-10-24 22:12:26 ,0,"{""date"":""24/Oct/2021:22:12:26 +0800"",""remote_addr"":""112.141.241.194"",""hostname"":""ld-gs-001"",""appid"":""100116"",""body"":{""datastate"":""0"",""name"":""game_exit"",""action"":""customevent"",""id"":65,""params"":{""dragonCount"":[[""14052"",1],[""14041"",1],[""14053"",1],[""14031"",1],[""14042"",2],[""14083"",1],[""14072"",1],[""14061"",2],[""14062"",2],[""14051"",2],[""14001"",1],[""14012"",3],[""14002"",1],[""14013"",1],[""14101"",2],[""14043"",1],[""14032"",1],[""14033"",1],[""14011"",2],[""14081"",2],[""14092"",2],[""14071"",1],[""14091"",3],[""14003"",1]],""os"":0,""fbConnected"":true,""level"":15,""energyCount"":59,""version"":""7.1.215"",""deviceId"":""f6cfd7fce59e681e183d58a4b5f8515a"",""platform"":""ANDROID"",""sceneId"":""city"",""onlineTime"":3317,""diamondCount"":16,""goldCount"":25842,""playerid"":""n61jub"",""ts"":1635084746},""device"":{""devicecountry"":""AU"",""appname"":""Dragon Farm Adventure Android"",""timezone"":""GMT+08:00"",""appver"":""7.1.0"",""userid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""timestamp"":1635084746}}}"
100116,reportEnergy,2021-10-24 22:12:26 ,2021-10-24 22:12:26 ,0,"{""date"":""24/Oct/2021:22:12:26 +0800"",""remote_addr"":""112.141.241.194"",""hostname"":""ld-gs-001"",""appid"":""100116"",""body"":{""datastate"":""0"",""name"":""reportEnergy"",""action"":""customevent"",""id"":10,""params"":{""method"":""AddEnergyByTime"",""os"":0,""level"":15,""remain"":59,""change"":4,""count"":4,""type"":1,""clientTime"":1635084746,""version"":""7.1.215"",""deviceId"":""f6cfd7fce59e681e183d58a4b5f8515a"",""platform"":""ANDROID"",""accountId"":""3906650179436247"",""playerid"":""n61jub"",""ts"":1635084746},""device"":{""devicecountry"":""AU"",""appname"":""Dragon Farm Adventure Android"",""timezone"":""GMT+08:00"",""appver"":""7.1.0"",""userid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""timestamp"":1635084746}}}"
100116,reportItem,2021-10-24 22:12:26 ,2021-10-24 22:12:26 ,0,"{""date"":""24/Oct/2021:22:12:26 +0800"",""remote_addr"":""112.141.241.194"",""hostname"":""ld-gs-001"",""appid"":""100116"",""body"":{""datastate"":""0"",""name"":""reportItem"",""action"":""customevent"",""id"":9,""params"":{""bagCnt"":55,""itemId_type_name"":""energy"",""method"":""AddEnergyByTime"",""os"":0,""level"":15,""remain"":59,""change"":4,""count"":4,""type"":1,""clientTime"":1635084746,""deviceId"":""f6cfd7fce59e681e183d58a4b5f8515a"",""version"":""7.1.215"",""platform"":""ANDROID"",""get_or_consume_type"":1,""accountId"":""3906650179436247"",""itemId"":""1003"",""subMethod"":"""",""itemId_type_id"":1,""playerid"":""n61jub"",""ts"":1635084746},""device"":{""devicecountry"":""AU"",""appname"":""Dragon Farm Adventure Android"",""timezone"":""GMT+08:00"",""appver"":""7.1.0"",""userid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""timestamp"":1635084746}}}"
100116,push,2021-10-24 22:07:09 ,2021-10-24 22:07:11 ,0,"{""date"":""24/Oct/2021:14:07:11 +0000"",""remote_addr"":""112.141.241.194"",""hostname"":""nginx-prod-01"",""appid"":""100116"",""body"":{""name"":""push"",""action"":""customevent"",""id"":""push"",""params"":{""level"":""15"",""id"":""4"",""version"":""7.1.215"",""deviceId"":""f6cfd7fce59e681e183d58a4b5f8515a"",""push"":""0"",""platform"":""android"",""languageKey"":""push_building_ready"",""playerid"":""n61jub"",""ts"":""1635084429""},""device"":{""keyhash"":""/jD5rhPngo1Y8ZM3BEs9cL2NW3g="",""syslanguage"":""en"",""timezone"":""Australia/Brisbane"",""appver"":""7.1.0"",""packagename"":""com.dragonmonster.idlefarmadventure.free"",""sysver"":""11"",""targetSdkVersion"":""30"",""gps_adid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""userid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""userid_ini"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""unitysdkver"":""3.1.18"",""tags"":""[]"",""netstatus"":""1"",""unityver"":""2018.4.36f1"",""devicecountry"":""AU"",""appname"":""Dragon Farm Adventure"",""romsize"":""32768"",""sdkver"":""3.1.15"",""appvercode"":""11"",""ramsize"":""1781"",""androidid"":""bccf0bdb9e66723e"",""devicemodel"":""SM-T515"",""timestamp"":""1635084429""}},""user_agent"":""android""}"
100116,push,2021-10-24 22:07:09 ,2021-10-24 22:07:11 ,0,"{""date"":""24/Oct/2021:14:07:11 +0000"",""remote_addr"":""112.141.241.194"",""hostname"":""nginx-prod-03"",""appid"":""100116"",""body"":{""name"":""push"",""action"":""customevent"",""id"":""push"",""params"":{""level"":""15"",""id"":""1"",""version"":""7.1.215"",""deviceId"":""f6cfd7fce59e681e183d58a4b5f8515a"",""push"":""0"",""platform"":""android"",""languageKey"":""push_normal_1"",""playerid"":""n61jub"",""ts"":""1635084429""},""device"":{""keyhash"":""/jD5rhPngo1Y8ZM3BEs9cL2NW3g="",""syslanguage"":""en"",""timezone"":""Australia/Brisbane"",""appver"":""7.1.0"",""packagename"":""com.dragonmonster.idlefarmadventure.free"",""sysver"":""11"",""targetSdkVersion"":""30"",""gps_adid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""userid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""userid_ini"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""unitysdkver"":""3.1.18"",""tags"":""[]"",""netstatus"":""1"",""unityver"":""2018.4.36f1"",""devicecountry"":""AU"",""appname"":""Dragon Farm Adventure"",""romsize"":""32768"",""sdkver"":""3.1.15"",""appvercode"":""11"",""ramsize"":""1781"",""androidid"":""bccf0bdb9e66723e"",""devicemodel"":""SM-T515"",""timestamp"":""1635084429""}},""user_agent"":""android""}"
100116,push,2021-10-24 22:07:09 ,2021-10-24 22:07:11 ,0,"{""date"":""24/Oct/2021:14:07:11 +0000"",""remote_addr"":""112.141.241.194"",""hostname"":""nginx-prod-01"",""appid"":""100116"",""body"":{""name"":""push"",""action"":""customevent"",""id"":""push"",""params"":{""level"":""15"",""id"":""1"",""version"":""7.1.215"",""deviceId"":""f6cfd7fce59e681e183d58a4b5f8515a"",""push"":""0"",""platform"":""android"",""languageKey"":""push_normal_1"",""playerid"":""n61jub"",""ts"":""1635084429""},""device"":{""keyhash"":""/jD5rhPngo1Y8ZM3BEs9cL2NW3g="",""syslanguage"":""en"",""timezone"":""Australia/Brisbane"",""appver"":""7.1.0"",""packagename"":""com.dragonmonster.idlefarmadventure.free"",""sysver"":""11"",""targetSdkVersion"":""30"",""gps_adid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""userid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""userid_ini"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""unitysdkver"":""3.1.18"",""tags"":""[]"",""netstatus"":""1"",""unityver"":""2018.4.36f1"",""devicecountry"":""AU"",""appname"":""Dragon Farm Adventure"",""romsize"":""32768"",""sdkver"":""3.1.15"",""appvercode"":""11"",""ramsize"":""1781"",""androidid"":""bccf0bdb9e66723e"",""devicemodel"":""SM-T515"",""timestamp"":""1635084429""}},""user_agent"":""android""}"
100116,push,2021-10-24 22:07:10 ,2021-10-24 22:07:11 ,0,"{""date"":""24/Oct/2021:14:07:11 +0000"",""remote_addr"":""112.141.241.194"",""hostname"":""nginx-prod-03"",""appid"":""100116"",""body"":{""name"":""push"",""action"":""customevent"",""id"":""push"",""params"":{""level"":""15"",""id"":""2"",""version"":""7.1.215"",""deviceId"":""f6cfd7fce59e681e183d58a4b5f8515a"",""push"":""0"",""platform"":""android"",""languageKey"":""push_normal_2"",""playerid"":""n61jub"",""ts"":""1635084429""},""device"":{""keyhash"":""/jD5rhPngo1Y8ZM3BEs9cL2NW3g="",""syslanguage"":""en"",""timezone"":""Australia/Brisbane"",""appver"":""7.1.0"",""packagename"":""com.dragonmonster.idlefarmadventure.free"",""sysver"":""11"",""targetSdkVersion"":""30"",""gps_adid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""userid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""userid_ini"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""unitysdkver"":""3.1.18"",""tags"":""[]"",""netstatus"":""1"",""unityver"":""2018.4.36f1"",""devicecountry"":""AU"",""appname"":""Dragon Farm Adventure"",""romsize"":""32768"",""sdkver"":""3.1.15"",""appvercode"":""11"",""ramsize"":""1781"",""androidid"":""bccf0bdb9e66723e"",""devicemodel"":""SM-T515"",""timestamp"":""1635084430""}},""user_agent"":""android""}"
100116,push,2021-10-24 22:07:09 ,2021-10-24 22:07:11 ,0,"{""date"":""24/Oct/2021:14:07:11 +0000"",""remote_addr"":""112.141.241.194"",""hostname"":""nginx-prod-03"",""appid"":""100116"",""body"":{""name"":""push"",""action"":""customevent"",""id"":""push"",""params"":{""level"":""15"",""id"":""2"",""version"":""7.1.215"",""deviceId"":""f6cfd7fce59e681e183d58a4b5f8515a"",""push"":""0"",""platform"":""android"",""languageKey"":""push_normal_2"",""playerid"":""n61jub"",""ts"":""1635084429""},""device"":{""keyhash"":""/jD5rhPngo1Y8ZM3BEs9cL2NW3g="",""syslanguage"":""en"",""timezone"":""Australia/Brisbane"",""appver"":""7.1.0"",""packagename"":""com.dragonmonster.idlefarmadventure.free"",""sysver"":""11"",""targetSdkVersion"":""30"",""gps_adid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""userid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""userid_ini"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""unitysdkver"":""3.1.18"",""tags"":""[]"",""netstatus"":""1"",""unityver"":""2018.4.36f1"",""devicecountry"":""AU"",""appname"":""Dragon Farm Adventure"",""romsize"":""32768"",""sdkver"":""3.1.15"",""appvercode"":""11"",""ramsize"":""1781"",""androidid"":""bccf0bdb9e66723e"",""devicemodel"":""SM-T515"",""timestamp"":""1635084429""}},""user_agent"":""android""}"
100116,push,2021-10-24 22:07:09 ,2021-10-24 22:07:11 ,0,"{""date"":""24/Oct/2021:14:07:11 +0000"",""remote_addr"":""112.141.241.194"",""hostname"":""nginx-prod-02"",""appid"":""100116"",""body"":{""name"":""push"",""action"":""customevent"",""id"":""push"",""params"":{""level"":""15"",""id"":""1"",""version"":""7.1.215"",""deviceId"":""f6cfd7fce59e681e183d58a4b5f8515a"",""push"":""0"",""platform"":""android"",""languageKey"":""push_normal_1"",""playerid"":""n61jub"",""ts"":""1635084429""},""device"":{""keyhash"":""/jD5rhPngo1Y8ZM3BEs9cL2NW3g="",""syslanguage"":""en"",""timezone"":""Australia/Brisbane"",""appver"":""7.1.0"",""packagename"":""com.dragonmonster.idlefarmadventure.free"",""sysver"":""11"",""targetSdkVersion"":""30"",""gps_adid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""userid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""userid_ini"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""unitysdkver"":""3.1.18"",""tags"":""[]"",""netstatus"":""1"",""unityver"":""2018.4.36f1"",""devicecountry"":""AU"",""appname"":""Dragon Farm Adventure"",""romsize"":""32768"",""sdkver"":""3.1.15"",""appvercode"":""11"",""ramsize"":""1781"",""androidid"":""bccf0bdb9e66723e"",""devicemodel"":""SM-T515"",""timestamp"":""1635084429""}},""user_agent"":""android""}"
100116,push,2021-10-24 22:07:09 ,2021-10-24 22:07:11 ,0,"{""date"":""24/Oct/2021:14:07:11 +0000"",""remote_addr"":""112.141.241.194"",""hostname"":""nginx-prod-02"",""appid"":""100116"",""body"":{""name"":""push"",""action"":""customevent"",""id"":""push"",""params"":{""level"":""15"",""id"":""2"",""version"":""7.1.215"",""deviceId"":""f6cfd7fce59e681e183d58a4b5f8515a"",""push"":""0"",""platform"":""android"",""languageKey"":""push_normal_2"",""playerid"":""n61jub"",""ts"":""1635084429""},""device"":{""keyhash"":""/jD5rhPngo1Y8ZM3BEs9cL2NW3g="",""syslanguage"":""en"",""timezone"":""Australia/Brisbane"",""appver"":""7.1.0"",""packagename"":""com.dragonmonster.idlefarmadventure.free"",""sysver"":""11"",""targetSdkVersion"":""30"",""gps_adid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""userid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""userid_ini"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""unitysdkver"":""3.1.18"",""tags"":""[]"",""netstatus"":""1"",""unityver"":""2018.4.36f1"",""devicecountry"":""AU"",""appname"":""Dragon Farm Adventure"",""romsize"":""32768"",""sdkver"":""3.1.15"",""appvercode"":""11"",""ramsize"":""1781"",""androidid"":""bccf0bdb9e66723e"",""devicemodel"":""SM-T515"",""timestamp"":""1635084429""}},""user_agent"":""android""}"
